,0
id,0
listing_url,0
scrape_id,0
last_scraped,0
source,0
name,1
description,882
neighborhood_overview,7911
picture_url,0
host_id,0
host_url,0
host_name,0
host_since,0
host_location,4275
host_about,9423
host_response_time,2931
host_response_rate,2931
host_acceptance_rate,1817
host_is_superhost,5
host_thumbnail_url,0
host_picture_url,0
host_neighbourhood,11115
host_listings_count,0
host_total_listings_count,0
host_verifications,0
host_has_profile_pic,0
host_identity_verified,0
neighbourhood,7911
neighbourhood_cleansed,0
neighbourhood_group_cleansed,22011
latitude,0
longitude,0
property_type,0
room_type,0
accommodates,0
bathrooms,22011
bathrooms_text,30
bedrooms,542
beds,271
amenities,0
price,1
minimum_nights,1
maximum_nights,1
minimum_minimum_nights,2
maximum_minimum_nights,2
minimum_maximum_nights,2
maximum_maximum_nights,2
minimum_nights_avg_ntm,2
maximum_nights_avg_ntm,2
calendar_updated,22011
has_availability,1
availability_30,1
availability_60,1
availability_90,1
availability_365,1
calendar_last_scraped,1
number_of_reviews,1
number_of_reviews_ltm,1
number_of_reviews_l30d,1
first_review,2513
last_review,2513
review_scores_rating,2513
review_scores_accuracy,2569
review_scores_cleanliness,2568
review_scores_checkin,2569
review_scores_communication,2569
review_scores_location,2570
review_scores_value,2570
license,22011
instant_bookable,1
calculated_host_listings_count,1
calculated_host_listings_count_entire_homes,1
calculated_host_listings_count_private_rooms,1
calculated_host_listings_count_shared_rooms,1
reviews_per_month,2513
